H,K,L,Distance,2theta/TOF,Mult
0,0,1,5.62,15.768744892241697,6
-1,1,0,3.9739,22.372136654619826,24
2,0,1,2.5133,35.72529240110422,24
1,-2,-1,2.2943,39.26858442872475,48
-2,-2,1,1.8733,48.60202373166068,24
3,1,0,1.7772,51.41582006335401,24
-2,3,0,1.5587,59.28565335339611,24
-2,1,-3,1.502,61.76275281153067,48
0,-1,4,1.363,68.8886675329819,24
-4,1,-1,1.3246,71.1829684375009,48
2,-1,-4,1.2263,77.90196575827987,48
-3,-2,3,1.1981,80.09944129844541,48
0,-5,0,1.124,86.60842936848579,6
3,1,-4,1.1021,88.7739581372964,48
2,4,-3,1.0436,95.2436515663778,48
2,-1,5,1.026,97.42081645682961,48
2,2,-5,0.9783,104.00172749385595,24
0,-5,3,0.9638,106.23642888106797,24
1,6,0,0.9239,113.11084211542212,24
3,5,2,0.9116,115.48928651935147,48
