code,H,K,L,Mult,wi,Ai,mu_i,intensity,L_gamma_i,G_sigma2_i,a=2.997780,b=2.997780,c=4.681730,alpha=90.000000,beta=90.000000,gamma=120.000000
0,1,0,0,6,75.98954550997006,0.6985550612845308,34.51988338761864,57.11309345441983,1.8878792101172686,0.036001269402363784
1,1,0,0,6,3.2321416420050166,0.603172868973671,34.60819807920328,15.44825144108594,0.048480513568774544,0.03733659962623512
0,0,0,2,6,3156.0503987444054,0.10156606520594662,38.424036112503444,5711.332955688068,0.20727067778917885,0.046978104292927966
1,0,0,2,6,1551.747337656288,0.23839223845703328,38.523090831001895,4434.6157703570625,0.12771458865122726,0.018016037750076548
0,1,0,1,2,45.605441595251634,0.7745924250339008,39.6651643595072,47.1503590396093,0.5873105690424606,0.021445255575745517
1,1,0,1,2,23.890711762884763,0.6573519154380858,39.767685980930345,103.18179085786807,0.08124890727472173,0.0061464864757994
0,1,0,2,2,1.3760901705779157e-06,0.4856318704950469,52.600970044932026,1.6724194446169343e-07,2.9321116986406808,8.892316602945078
1,1,0,2,2,153.27666808203537,4.350771079071943e-07,52.741481755640834,11.716083771775166,2.845970075750924,27.24002315835233
0,1,1,0,12,8.416735771550629,0.07003070067610939,61.84952995292579,17.59699428383896,0.08832108818943868,0.04072990625627635
1,1,1,0,12,19.09161881850853,0.07355406419991294,62.01986986341055,41.701255808623834,0.06438912619545469,0.04121030487924003
0,1,0,3,12,0.00011631323441459674,0.002411161493755644,70.32688802691133,4.596454945437687e-06,0.17302295870198328,128.6922156619909
1,1,0,3,12,7.97589574727029e-05,1.1786806958932653e-09,70.52722925952136,2.8397666031472537e-06,0.1434353716403212,125.54916741539422
0,2,0,0,12,15.845995226471906,8.150687257393435e-17,72.79938433460275,0.659008634980317,0.022360679774997897,92.01888419771734
1,2,0,0,12,14.140556542340969,4.50590929336771e-19,73.00906236152385,0.5970028344660449,0.022360679774997897,89.28949174601014
0,1,1,2,12,23.319800794934483,2.2122303323845292e-11,75.2132867417245,71.7471239879033,3.7200945412472004,0.01681360383551436
1,1,1,2,12,0.6410353548279085,2.3316501619091587e-09,75.4323730719872,4.937356135063838,3.3305822590455194,0.0026828425544644105
0,2,0,1,6,0.2121668049245298,0.00026756953019476873,76.02039359890477,0.011263504130385772,1.9873560338307228,56.532342665708036
1,2,0,1,6,0.01687921722522826,0.47215851780507906,76.24269414140215,0.07327234133940932,1.6649599072351808,0.0024541655587192474
